Fine Grid Computational Result			
Mc      incomp. Growth rate    Comp. Growth Rate     Phi
0.1000          0.0514            0.0514            1.0000
0.2400          0.0711            0.0712            1.0014
0.3800          0.0792            0.0760            0.9596
0.5200          0.0836            0.0738            0.8828
0.6600          0.0865            0.0690            0.7977
0.8000          0.0884            0.0630            0.7127
0.9400          0.0894            0.0568            0.6353
1.0800          0.0895            0.0508            0.5676
1.2200          0.0873            0.0455            0.5212
1.3600          0.0838            0.0407            0.4857
1.5000          0.0756            0.0367            0.4854
